runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2693,4,1,Li7,50,50,100,-7084.31,-592.513,31.7187,18.2813,-7084.06,-593.172,31.8158,18.1842,1.43156,840.473,840.473,0
0,2693,2,1,alpha,50,50,100,-7084.31,-592.513,31.7187,18.2813,-7085.06,-590.553,31.4359,18.5641,4.25053,1472.51,1472.51,0
0,2694,4,1,Li7,50,50,100,7891.23,-4324.45,-37.9024,87.9024,7891.5,-4323.81,-38.0228,88.0228,1.42965,834.903,834.903,0
0,2694,2,1,alpha,50,50,100,7891.23,-4324.45,-37.9024,87.9024,7890.39,-4326.37,-37.5506,87.5506,4.24931,1472.06,1472.06,0
0,2695,4,1,Li7,50,50,100,572.674,-8297.5,-43.4421,93.4421,572.718,-8296.89,-43.0784,93.0784,1.43123,839.502,839.502,0
0,2695,2,1,alpha,50,50,100,572.674,-8297.5,-43.4421,93.4421,572.551,-8299.32,-44.5303,94.5303,4.25001,1472.32,1472.32,0
0,2696,4,1,Li7,50,50,100,-3736.53,7729.46,46.7312,3.26876,-3735.86,7729.27,46.6068,3.39321,1.43292,844.426,844.426,0
0,2696,2,1,alpha,50,50,100,-3736.53,7729.46,46.7312,3.26876,-3738.54,7730.03,47.1021,2.89787,4.2497,1472.21,1472.21,0
0,2698,4,1,Li7,50,50,100,5957.98,2896.42,2.93389,47.0661,5957.35,2896.55,2.62932,47.3707,1.42923,837.248,833.669,0
0,2698,2,1,alpha,50,50,100,5957.98,2896.42,2.93389,47.0661,5959.86,2896.04,3.84323,46.1568,4.24988,1472.27,1472.27,0
0,2699,4,1,Li7,50,50,100,1511.09,-5867.46,13.6349,36.3651,1511.23,-5866.77,13.4956,36.5044,1.43063,837.735,837.735,0
0,2699,2,1,alpha,50,50,100,1511.09,-5867.46,13.6349,36.3651,1510.69,-5869.5,14.0403,35.9597,4.25002,1472.32,1472.32,0
